,Movie_Name,Director1,Director2,Director3,Duration,year,Ratings,Metascore,Sno
1475,Hulk,Ang Lee,N/A,N/A,138 min,2003,5.6,54,1476
1476,You Don't Mess with the Zohan,Dennis Dugan,N/A,N/A,113 min,2008,5.6,54,1477
1477,Alexander,Oliver Stone,N/A,N/A,175 min,2004,5.6,40,1478
1478,Assassin's Creed,Justin Kurzel,N/A,N/A,115 min,2016,5.6,36,1479
1479,The Dark Tower,Nikolaj Arcel,N/A,N/A,95 min,2017,5.6,34,1480
1480,Alien vs,Paul W.S. Anderson,N/A,N/A,101 min,2004,5.6,29,1481
1481,Pacific Rim: Uprising,Steven S. DeKnight,N/A,N/A,111 min,2018,5.6,44,1482
1482,Wild Card,Simon West,N/A,N/A,92 min,2015,5.6,40,1483
1483,Judge Dredd,Danny Cannon,N/A,N/A,96 min,1995,5.6,N/A,1484
1484,Fantastic Four: Rise of the Silver Surfer,Tim Story,N/A,N/A,92 min,2007,5.6,45,1485
1485,Johnny Mnemonic,Robert Longo,N/A,N/A,96 min,1995,5.6,36,1486
1486,The Specialist,Luis Llosa,N/A,N/A,110 min,1994,5.6,N/A,1487
1487,Machete Kills,Robert Rodriguez,N/A,N/A,107 min,2013,5.6,41,1488
1488,Timeline,Richard Donner,N/A,N/A,116 min,2003,5.6,28,1489
1489,The Ice Road,Jonathan Hensleigh,N/A,N/A,109 min,2021,5.6,42,1490
1490,Hold the Dark,Jeremy Saulnier,N/A,N/A,125 min,2018,5.6,63,1491
1491,The Marksman,Robert Lorenz,N/A,N/A,108 min,2021,5.6,44,1492
1492,Jolt,Tanya Wexler,N/A,N/A,91 min,2021,5.6,48,1493
1493,Jay and Silent Bob Reboot,Kevin Smith,N/A,N/A,105 min,2019,5.6,46,1494
1494,Raw Deal,John Irvin,N/A,N/A,106 min,1986,5.6,44,1495
1495,Double Impact,Sheldon Lettich,N/A,N/A,110 min,1991,5.6,40,1496
1496,National Security,Dennis Dugan,N/A,N/A,88 min,2003,5.6,31,1497
1497,Brick Mansions,Camille Delamarre,N/A,N/A,90 min,2014,5.6,40,1498
1498,Brahmastra Part One: Shiva,Ayan Mukerji,N/A,N/A,167 min,2022,5.6,57,1499
1499,Chain Reaction,Andrew Davis,N/A,N/A,107 min,1996,5.6,43,1500
1500,The Skulls,Rob Cohen,N/A,N/A,106 min,2000,5.6,24,1501
1501,MacGruber,Jorma Taccone,N/A,N/A,90 min,2010,5.6,43,1502
1502,Survivor,James McTeigue,N/A,N/A,96 min,2015,5.6,28,1503
1503,Bad Company,Joel Schumacher,N/A,N/A,116 min,2002,5.6,37,1504
1504,The Pink Panther 2,Harald Zwart,N/A,N/A,92 min,2009,5.6,36,1505
1505,Sleepless,Baran bo Odar,N/A,N/A,95 min,2017,5.6,34,1506
1506,Exit Wounds,Andrzej Bartkowiak,N/A,N/A,101 min,2001,5.6,39,1507
1507,Fire with Fire,David Barrett,N/A,N/A,97 min,2012,5.6,N/A,1508
1508,12 Rounds,Renny Harlin,N/A,N/A,108 min,2009,5.6,38,1509
1509,The Quest,Jean-Claude Van Damme,N/A,N/A,95 min,1996,5.6,N/A,1510
1510,The Contract,Bruce Beresford,N/A,N/A,96 min,2006,5.6,N/A,1511
1511,Metro,Thomas Carter,N/A,N/A,117 min,1997,5.6,41,1512
1512,Once There Was a Tiger,Mathur Goswami,Kabir Khan,N/A,132 min,2012,5.6,N/A,1513
1513,Bang Bang,Siddharth Anand,N/A,N/A,153 min,2014,5.6,N/A,1514
1514,Baywatch,Seth Gordon,N/A,N/A,116 min,2017,5.5,37,1515
1515,Willy's Wonderland,Kevin Lewis,N/A,N/A,88 min,2021,5.5,44,1516
1516,The Scorpion King,Chuck Russell,N/A,N/A,92 min,2002,5.5,45,1517
1517,The Core,Jon Amiel,N/A,N/A,135 min,2003,5.5,48,1518
1518,The 355,Simon Kinberg,N/A,N/A,122 min,2022,5.5,40,1519
1519,Your Highness,David Gordon Green,N/A,N/A,102 min,2011,5.5,31,1520
1520,George of the Jungle,Sam Weisman,N/A,N/A,92 min,1997,5.5,53,1521
1521,The Cloverfield Paradox,Julius Onah,N/A,N/A,102 min,2018,5.5,37,1522
1522,Green Lantern,Martin Campbell,N/A,N/A,114 min,2011,5.5,39,1523
1523,Sweet Girl,Brian Andrew Mendoza,N/A,N/A,110 min,2021,5.5,46,1524
1524,Beverly Hills Cop III,John Landis,N/A,N/A,104 min,1994,5.5,16,1525
1525,Resident Evil: The Final Chapter,Paul W.S. Anderson,N/A,N/A,107 min,2016,5.5,49,1526
1526,Snakes on a Plane,David R. Ellis,N/A,N/A,105 min,2006,5.5,58,1527
1527,Seventh Son,Sergei Bodrov,N/A,N/A,102 min,2014,5.5,30,1528
1528,Volcano,Mick Jackson,N/A,N/A,104 min,1997,5.5,55,1529
1529,Eight Legged Freaks,Ellory Elkayem,N/A,N/A,99 min,2002,5.5,53,1530
1530,Virtuosity,Brett Leonard,N/A,N/A,106 min,1995,5.5,39,1531
