,Movie_Name,Star1,Star2,Star3,Star4,Votes,Genre1,Genre2,Genre3,Gross_Collection,Popularity,Certification
612,Alan Partridge,Steve Coogan,Colm Meaney,Tim Key,Karl Theobald,"32,460",Action,Crime,Crime,9979601,N/A,R
613,Traitor,Don Cheadle,Guy Pearce,Archie Panjabi,Saïd Taghmaoui,"58,460",Action,Drama,Drama,27675014,N/A,PG-13
614,Fan,Shah Rukh Khan,Shriya Pilgaonkar,Sayani Gupta,Waluscha D'Souza,"47,530",Action,Thriller,Thriller,28240000,N/A,Not Rated
615,The Fast and the Furious,Vin Diesel,Paul Walker,Michelle Rodriguez,Jordana Brewster,"400,052",Action,Thriller,Thriller,207517509,40,PG-13
616,The Woman King,Viola Davis,Thuso Mbedu,Lashana Lynch,Sheila Atim,"61,504",Action,History,History,97250903,309,PG-13
617,The Magnificent Seven,Denzel Washington,Chris Pratt,Ethan Hawke,Vincent D'Onofrio,"219,320",Action,Drama,Drama,162360636,319,PG-13
618,Aquaman,Jason Momoa,Amber Heard,Willem Dafoe,Patrick Wilson,"491,509",Action,Fantasy,Fantasy,1148528393,381,PG-13
619,Ready or Not,Samara Weaving,Adam Brody,Mark O'Brien,Henry Czerny,"163,936",Action,Horror,Horror,57615777,411,R
620,Thor: The Dark World,Chris Hemsworth,Natalie Portman,Tom Hiddleston,Stellan Skarsgård,"699,878",Action,Fantasy,Fantasy,644783140,556,PG-13
621,Mad Max,Mel Gibson,Joanne Samuel,Hugh Keays-Byrne,Steve Bisley,"213,430",Action,Sci-Fi,Sci-Fi,8773197,616,R
622,Captain Marvel,Brie Larson,Samuel L. Jackson,Ben Mendelsohn,Jude Law,"579,661",Action,Sci-Fi,Sci-Fi,1131416446,647,PG-13
623,Men in Black 3,Will Smith,Tommy Lee Jones,Josh Brolin,Jemaine Clement,"373,188",Action,Comedy,Comedy,654213485,690,PG-13
624,The Maze Runner,Dylan O'Brien,Kaya Scodelario,Will Poulter,Thomas Brodie-Sangster,"483,866",Action,Sci-Fi,Sci-Fi,348319861,835,PG-13
625,The Book of Eli,Denzel Washington,Mila Kunis,Ray Stevenson,Gary Oldman,"327,184",Action,Drama,Drama,157107755,879,R
626,TRON: Legacy,Jeff Bridges,Garrett Hedlund,Olivia Wilde,Bruce Boxleitner,"345,489",Action,Sci-Fi,Sci-Fi,400063852,"1,089",PG
627,What Happened to Monday,Noomi Rapace,Glenn Close,Willem Dafoe,Marwan Kenzari,"128,289",Action,Fantasy,Fantasy,27975429,"1,146",TV-MA
628,Spectre,Daniel Craig,Christoph Waltz,Léa Seydoux,Ralph Fiennes,"451,022",Action,Thriller,Thriller,880705312,"1,352",PG-13
629,Boss Level,Frank Grillo,Mel Gibson,Naomi Watts,Michelle Yeoh,"72,885",Action,Comedy,Comedy,1753823,"1,590",TV-MA
630,Bad Boys,Will Smith,Martin Lawrence,Lisa Boyle,Michael Taliferro,"274,958",Action,Crime,Crime,141407024,"1,815",R
631,Kisi Ka Bhai Kisi Ki Jaan,Salman Khan,Pooja Hegde,Venkatesh Daggubati,Aamir Naik,"36,177",Action,Drama,Drama,2426868,"1,821",Not Rated
632,The Long Kiss Goodnight,Geena Davis,Samuel L. Jackson,Yvonne Zima,Craig Bierko,"82,440",Action,Drama,Drama,89456761,"1,937",R
633,The Island,Scarlett Johansson,Ewan McGregor,Djimon Hounsou,Steve Buscemi,"321,103",Action,Thriller,Thriller,162949164,"2,072",PG-13
634,News of the World,Tom Hanks,Helena Zengel,Tom Astor,Travis Johnson,"91,282",Action,Drama,Drama,12668325,"2,182",PG-13
635,The Transporter,Jason Statham,Shu Qi,Matt Schulze,François Berléand,"310,969",Action,Thriller,Thriller,43928932,"2,340",PG-13
636,Hellboy,Ron Perlman,Doug Jones,Selma Blair,John Hurt,"338,534",Action,Fantasy,Fantasy,99378985,"2,399",PG-13
637,The Outpost,Scott Eastwood,Caleb Landry Jones,Orlando Bloom,Jack Kesy,"37,162",Action,History,History,2327336,"2,411",R
638,Chappie,Sharlto Copley,Dev Patel,Hugh Jackman,Sigourney Weaver,"259,683",Action,Drama,Drama,102811889,"2,454",R
639,Ghostbusters,Melissa McCarthy,Kristen Wiig,Kate McKinnon,Leslie Jones,"237,037",Action,Fantasy,Fantasy,229147509,"2,474",PG-13
640,Bloodsport,Jean-Claude Van Damme,Donald Gibb,Leah Ayres,Norman Burton,"89,035",Action,Drama,Drama,11806119,"2,561",R
641,Young Guns,Emilio Estevez,Kiefer Sutherland,Lou Diamond Phillips,Charlie Sheen,"64,674",Action,Western,Western,45661556,"2,602",R
